nCell.Var1	nCell.Freq	nCount_RNA	nFeature_RNA	PTPRC.exp	PTPRC.pct	CSF3R.exp	CSF3R.pct	S100A8.exp	S100A8.pct	PTPRC_score	CSF3R_score	celltypes
0	0	1698	1064.5	669	23.5300204486643	88.86925795053	18.6075214960837	82.3910482921084	869.145765979132	99.9411071849234	2091.0954568336	1533.09320218028	Neu
1	1	1464	764	505	22.3925665980862	77.7322404371585	21.7453403419522	75.9562841530055	810.836047932535	99.5901639344262	1740.62437080752	1651.69525001713	Neu
2	2	1215	960	601	27.6259219526101	88.641975308642	28.6909551726975	89.4650205761317	408.715001775536	99.3415637860082	2448.81629160173	2566.83689487425	Neu
3	3	1173	1060	650	39.562636187593	95.4816709292413	30.2436320390093	92.4126172208014	177.188248116554	98.8064791133845	3777.50660955704	2794.89319098773	Neu
4	4	833	4377	1867	19.2815829745981	98.9195678271308	7.25699122586853	91.2364945978391	529.518427699447	100	1907.32585487021	662.10244077552	Cant
5	5	774	1088	672.5	25.7265661468614	90.5684754521964	23.640796100131	89.7932816537468	584.252176306621	99.8708010335917	2330.01587454132	2122.78466273786	Neu
6	6	543	348	266	13.6909637654319	48.8029465930018	17.8410716091443	51.9337016574586	530.877080259868	88.7661141804788	668.159373451098	926.552890198654	Neu
7	7	523	5609	2467	18.9042778764597	100	0.520840111267338	22.9445506692161	3.1769910186298	77.4378585086042	1890.42778764597	11.9504423235336	Cant
8	8	400	6947	2333	14.0249531862497	99.75	1.63901185760303	37	41.7301434685543	81.5	1398.98908032841	60.6434387313122	Cant
9	9	375	6221	2460	18.7933605978042	100	0.439492393662367	23.2	3.09168375741329	73.6	1879.33605978042	10.1962235329669	Cant
10	10	370	2312.5	1337.5	21.8998810059218	94.0540540540541	5.52069886247497	52.972972972973	153.347722960642	95.9459459459459	2059.77259190832	292.447831633809	Cant
11	11	154	5814.5	2412.5	17.9578522489386	100	0.435963745650614	22.7272727272727	2.83906474893255	79.8701298701299	1795.78522489386	9.90826694660485	Cant
12	12	109	6167	2399	17.0943577266308	99.0825688073395	4.70664158326528	89.9082568807339	144.185178007281	100	1693.75287566617	423.165940513759	Cant
13	13	73	6497	2362	10.0890032641724	98.6301369863014	1.05236335257587	31.5068493150685	12.5195515923621	87.6712328767123	995.079774000566	33.1566535743083	Cant
